VMName;RAM;RAM_percentage;RAM_LastAvgUse_Gb_SD;CPUCount;CPU_percentage;CPU_LastAvgUse_MHz_SD;NETWORK_LastInboundAvgUse_Kbps_P95;NETWORK_LastInboundAvgUse_Kbps_SD;NETWORK_LastOutboundAvgUse_Kbps_P95;NETWORK_LastOutboundAvgUse_Kbps_SD
115295_EXPRESS_VPN_LLC_UBUNTU_14 (12cdd869-6394-4788-a158-893487a487b3);16;96;3;2;102;813;12027;2558;11976;2547
115877_WIND_07122018_restored;8;99;1;4;119;3546;297;225;70;17
115877_WINDOWS_2012R2;8;97;0;4;1;16;0;0;0;0
115877_WINDOWS_SERVER_2012_R2_Test;8;100;2;4;10;407;0;0;0;0
116567_192.168.10.3_NAVEGA_WIN_2008_X64_2 (af52ca01-15d0-4c5f-8827-3410d6a5a02a);10;98;0;8;13;50;0;0;0;0
117125_PARKING_PRD_SIP;32;100;0;12;31;1405;12;9;13;601
117138_PRORETAIL_WIN_2012_STD (b14b0f33-a0b2-4d7d-bdea-f64c55e123d7);4;100;0;4;2;21;0;0;1;0
120220_COBOGWBPORA1ZVM;6;100;1;4;32;652;146;28;46;16
120295_lyncphone.ifxnetworks.com (be7d7ca8-1e0e-4a64-ab1e-a0446f1e320e);4;95;0;8;1;61;45;16;53;19
120295_SmartApps_NEW;4;100;0;4;3;147;3;1;18;6
120990_R2_ASPECT_REDHAT_ENTERPRISE (28d02d47-e2b1-4296-a994-049194443b8c);8;99;0;4;1;336;7;1;0;0
120990_RTP-Proxy_FreeBSD (b9b84726-f948-41bf-b5b2-2d01e67a278d);4;84;0;8;1;18;0;0;0;0
01Bascula;4;37;0;2;50;0;1;0;0;0
100635_FUNDACION_CIDCA_WINDOWS_SERVER_200 (c1ca2912-dca3-4788-a339-6e06b3353461);8;50;0;4;113;4355;4;2;30;24
100854_SERFIN_Contardocloud (4ed4090a-c380-435a-952d-43809a7b1f7f);8;100;0;8;8;406;24;10;21;10
100854_SERFIN_Contardocloud_0519;8;100;0;8;5;329;9;6;10;41
101315_IIIS_WIN_2012_R2_STD_NEW (8fc9a75f-144d-4760-89d5-1e781d978862);4;100;0;4;8;222;29;8;20;7
102074_PRICEWATERHOUSECOOPERS_AG_LTDA_WIN (76c3a8de-13f1-4e16-ace6-324306355990);24;100;1;4;14;471;807;446;170;67
104140_SOCIEDAD_NACIONAL_DE_MINERIA_FG_CE (59ff1d4b-da52-4fed-8beb-fd59f1c28b9b);4;97;0;2;31;486;13;5;198;62
106158_TERMINAL_CERROS_DE_VALPARAISO_SA_C (92d571ea-42be-43a4-ab8d-9da1bee4fb97);2;94;1;2;2;199;0;83;1;96
108466_PARKING_DEV_SIP_NEW;10;100;0;2;33;572;5;102;13;163
108469_PARKING_TEST_SIP (79690485-a978-4ea6-a1c7-cea364c600ca);36;89;4;12;24;2408;3;1530;8;8
109433_WINDOWS_SERVER_2012_R2_STAND (84ce555c-e1ee-4089-bd47-8973a74ffc90);6;100;0;2;11;141;68;23;1998;637
109451_AFIANZADORA_NACIONAL_SA_CENTOS_6.5 (299192f6-d1f3-4fc7-941a-40214e5bc97c);6;97;0;4;40;1352;13;6;178;79
109782_INDUSTRIAS_INCA_SA_WIN_2012_R2_STD (a8c72206-1de7-4a11-89c1-c54dd27d2629);8;100;0;8;4;229;9;8;13;9
